Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R5,2k,R_0201_0603Metric,77.5,-21.0,-90.0,top
R50,4.7k,R_0201_0603Metric,48.5,-31.9075,-90.0,top
R51,100,R_0201_0603Metric,49.845,-20.9075,-90.0,top
R52,47k,R_0201_0603Metric,15.0,-50.0,180.0,top
R53,2k,R_0201_0603Metric,42.5,-20.9075,-90.0,top
R54,4.7k,R_0201_0603Metric,43.5,-31.9075,-90.0,top
R55,100,R_0201_0603Metric,44.5,-20.9075,-90.0,top
R56,47k,R_0201_0603Metric,15.0,-52.5,180.0,top
R57,2k,R_0201_0603Metric,37.345,-20.9075,-90.0,top
R58,4.7k,R_0201_0603Metric,38.5,-31.9075,-90.0,top
R59,100,R_0201_0603Metric,39.5,-20.9075,-90.0,top
R6,4.7k,R_0201_0603Metric,78.5,-31.845,-90.0,top
R60,47k,R_0201_0603Metric,15.0,-55.155,180.0,top
R61,2k,R_0201_0603Metric,32.55,-20.9075,-90.0,top
R62,4.7k,R_0201_0603Metric,33.55,-31.9075,-90.0,top
R63,100,R_0201_0603Metric,34.73,-20.9075,-90.0,top
R64,47k,R_0201_0603Metric,15.0,-57.82,180.0,top
R65,2k,R_0201_0603Metric,27.37,-20.9075,-90.0,top
R66,4.7k,R_0201_0603Metric,28.55,-31.9075,-90.0,top
R67,100,R_0201_0603Metric,29.55,-20.8825,-90.0,top
R68,47k,R_0201_0603Metric,15.0,-60.0,180.0,top
R7,100,R_0201_0603Metric,79.5,-21.0,-90.0,top
R8,47k,R_0201_0603Metric,15.0,-35.0,180.0,top
R9,2k,R_0201_0603Metric,82.5,-21.0,-90.0,top
U1,74HC164,SSOP-14_5.3x6.2mm_P0.65mm,46.55,-40.105,180.0,top
U2,CH32V003FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,59.0,-40.155,0.0,top
U3,74HC164,SSOP-14_5.3x6.2mm_P0.65mm,33.5,-40.0,180.0,top
